Date;3M;6M;1Y;2Y;3Y;4Y;5Y;6Y;7Y;8Y;9Y;10Y;15Y;20Y;30Y
07.06.2001;4,3978;4,30164;4,20799;4,21728;4,28703;4,41148;4,55118;4,68571;4,80893;4,95028;4,99587;5,00844;5,39432;5,5877;5,78107
08.06.2001;4,41527;4,32399;4,22315;4,23508;4,30211;4,42602;4,56502;4,7003;4,81676;4,94942;4,99448;5,00192;5,3741;5,55499;5,73582
11.06.2001;4,41527;4,31524;4,20889;4,22701;4,30063;4,42362;4,55919;4,69508;4,80616;4,93264;4,97632;4,98668;5,36001;5,54505;5,73008
12.06.2001;4,41333;4,31621;4,2414;4,26165;4,33121;4,45443;4,58791;4,72177;4,83447;4,95577;4,9974;5,00986;5,37706;5,56026;5,74345
13.06.2001;4,43371;4,36575;4,28194;4,29568;4,35606;4,47304;4,60325;4,73204;4,84204;4,95784;4,99732;5,0097;5,37448;5,55394;5,73338
14.06.2001;4,43759;4,36284;4,23587;4,2395;4,29859;4,40777;4,534;4,66193;4,77773;4,89748;4,93669;4,95103;5,32325;5,517;5,71079
15.06.2001;4,42886;4,34147;4,21953;4,21853;4,2834;4,39597;4,52582;4,65056;4,76578;4,89246;4,9289;4,94213;5,32467;5,53278;5,74096
18.06.2001;4,42789;4,33273;4,20045;4,19491;4,26071;4,3724;4,5024;4,63004;4,74346;4,87187;4,90945;4,92669;5,30727;5,52676;5,7463
19.06.2001;4,42595;4,3269;4,21021;4,20827;4,27447;4,38998;4,51998;4,6472;4,76657;4,89309;4,93383;4,95094;5,32671;5,54532;5,76396
20.06.2001;4,41624;4,30941;4,1751;4,17705;4,24818;4,36507;4,49484;4,61988;4,73576;4,8616;4,90173;4,92369;5,30695;5,53066;5,7544
21.06.2001;4,3978;4,28609;4,16863;4,15694;4,2239;4,33681;4,46767;4,58943;4,69939;4,81971;4,85897;4,88477;5,26506;5,48506;5,70509
22.06.2001;4,3978;4,28317;4,14626;4,1294;4,19354;4,30511;4,43071;4,55233;4,67676;4,80639;4,85047;4,87672;5,26468;5,47923;5,69379
25.06.2001;4,39683;4,2754;4,11973;4,09582;4,16905;4,2878;4,41732;4,5459;4,68066;4,81716;4,86243;4,89091;5,28235;5,49442;5,70652
